customerID,CREDIT_SCORE,VEHICLE_OWNERSHIP,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,AGE_16-25,AGE_26-39,AGE_40-64,AGE_65+,DRIVING_EXPERIENCE_0-9y,DRIVING_EXPERIENCE_10-19y,DRIVING_EXPERIENCE_20-29y,DRIVING_EXPERIENCE_30y+,EDUCATION_high school,EDUCATION_none,EDUCATION_university,INCOME_middle class,INCOME_poverty,INCOME_upper class,INCOME_working class,RACE_majority,RACE_minority,GENDER_female,GENDER_male,VEHICLE_YEAR_after 2015,VEHICLE_YEAR_before 2015,VEHICLE_TYPE_sedan,VEHICLE_TYPE_sports car
104957,0.056586552,-0.43569565,-0.23117106,-0.019166544,-0.12712888,0.078440666,-0.002454463,0.12181219,-0.001259039,0.07085102,0.000215051,0.000110537,-0.80340785,0.30797505,-0.005538609,0.00437409,-0.000396422,0.010332782,-0.000388469,0.001398707,0.008180791,0.028680582,-0.000748459,-0.012732768,0,-0.37238714,0,0.26760474,0,0.000349768,0
444919,0.03362305,-0.4937034,0.13964298,-0.049872044,-0.0466456,-0.033171497,-0.000228906,0.120295554,-0.001839103,0.024424989,0.000259883,0.000267165,1.5586606,-0.18872955,-0.001608423,0.015200719,0.000454317,-4.63E-05,-0.001570654,-0.010438142,-0.001303451,0.014469199,-0.000685366,0.001632758,0,0.38457966,0,0.35647058,0,-3.58E-06,0
166,0.11622083,-0.60767305,0.09189323,0.038847916,0.086336784,-0.010204548,-0.00038174,0.1351948,0.001197007,-0.012426504,0.001786217,2.20E-06,1.1510808,-0.14774546,0.000502052,0.009742979,-0.000246632,0.000580021,0.004069978,0.001381886,-0.000703606,-0.062006686,-0.000576072,0.007940861,0,0.3530452,0,-1.255451,0,-0.000818559,0
85547,0.062623,-0.26552635,-0.13246915,-0.022058258,-0.03842059,0.030461771,-0.003988945,-0.20110126,-0.00100106,-0.05099051,-0.003811311,-0.000192119,-0.7087496,-0.33891052,-0.008359443,0.000921627,0.00073023,-0.000480137,-0.000388469,-0.005354826,-0.002308692,0.029157182,-0.00078797,0.003821364,0,-0.24082437,0,-0.6800012,0,-0.005104311,0
866552,-0.04145242,-0.3242293,-0.26963598,0.023245888,-0.094220206,-0.063760154,-0.002811923,0.14151418,-0.000913243,-0.050370812,-0.013765854,0.000110537,-1.0215776,-0.40698326,-0.015030277,0.023585463,-0.000396422,-0.000585594,0.000848465,0.001580101,-0.004748656,-0.07995411,-0.000718441,0.001758597,0,-0.35566032,0,0.16812797,0,6.75E-05,0
67595,-0.018278483,0.9522451,0.2327853,-0.06978178,0.14732908,-0.02447784,-0.000765518,0.10889613,-0.013300832,0.065777175,0.000294015,7.51E-05,-0.7931408,0.43802598,3.90E-05,0.007968319,0.001996307,0.000442045,-0.000651801,-0.033773515,-0.00163146,0.03595474,-0.000705547,0.007793735,0,-0.2909616,0,0.24705432,0,-0.000345766,0
481909,0.08963903,-0.5320415,-0.09117678,-0.018869478,-0.073092304,-0.022616614,-0.001723732,0.18226433,0.003355608,-0.01454948,-0.002891098,0.000204915,1.170282,-0.15421045,-0.00577587,0.025778824,0.000454317,0.000266531,-0.001570654,0.001292084,-0.001175713,-0.045952957,-0.001064539,0.004370796,0,0.41846356,0,-1.231196,0,-0.001818613,0
640704,0.13642605,-0.54180986,-0.27466348,0.04060904,-0.05078712,-0.027831975,-0.001244471,0.118035205,0.001472408,-0.019757807,0.002555171,0.000110537,1.3834441,-0.15704444,-0.006542223,0.007250971,0.00073023,-0.000543464,-0.000784595,0.00164738,-0.00199566,0.024907399,0.003962283,0.001256599,0,-0.43217027,0,0.32162753,0,0.000415194,0
40864,0.020683302,-0.47906741,-0.17777175,0.019877145,-0.038916554,-0.028233437,-0.001717561,0.1626498,0.004668044,-0.022799544,-0.013182011,0.000267165,1.6300427,-0.19280645,-0.007583357,0.030388795,-0.000246632,-0.000207887,0.004069978,0.001946566,-0.001303451,-0.042254947,-0.00099501,0.00118266,0,0.4605661,0,0.32341644,0,-0.000500507,0
330068,0.018211205,-0.5181761,0.15281637,0.03706929,-0.02374579,-0.026186217,-0.000274399,0.12556648,-0.000526666,-0.0216876,-0.013182011,0.000267165,1.5803387,-0.1974382,-0.001608423,0.014435134,0.000454317,0.000133226,-0.001570654,-0.011010233,-0.000831345,0.015360151,-0.000576072,0.001824907,0,0.3798169,0,0.34413406,0,-3.38E-05,0
